
1,Kings School Dubai L.L.C,UMM SUQEIM THIRD,FS 1 - YEAR 6
2,GEMS Dubai American Academy - Dubai Branch,AL BARSHA SOUTH FIRST,"KG 1 - GRADE 12,KG 1 - GRADE 12 "
3,Dubai English Speaking School,OUD METHA,FS 1 - YEAR 6 
4,Jumeirah English Speaking School,AL SAFA FIRST,FS 1 - YEAR 6  
5,Horizons English School L.L.C,AL WASL,FS 1 - YEAR 6  
6,GEMS Jumeira Primary School - Dubai Branch,JUMEIRA THIRD,FS 1 - YEAR 6  
7,Dubai College,AL SAFOUH FIRST,YEAR 7 - YEAR 13  
8,Jumeirah College,AL SAFA FIRST,YEAR 7 - YEAR 13  
9,GEMS Modern Academy,NADD AL SHIBA FIRST,"GRADE 6 - GRADE 12,Pre primary - GRADE 12  "
10,GEMS Wellington International School - Dubai Branch,AL SAFOUH FIRST,FS 1 - YEAR 13
11,Deira International School,Dubai Festival City,"FS 1 - YEAR 11,YEAR 12 - YEAR 13  "
12,Dubai International Academy L.L.C,Emirates Hills,"KG 1 - GRADE 13,  "
13,Jumeirah English Speaking School (Br),Arabian Ranches,"FS 1 - YEAR 11,GRADE 12 - GRADE 13  "
14,Dubai British School,Emirates Hills,FS 1 - YEAR 13  
15,Repton School,NADD AL SHIBA THIRD,FS 1 - YEAR 13 
16,Lycee Francais International,OUD METHA,Pre primary - GRADE 12  
17,Dubai English Speaking College,Academic City,YEAR 7 - YEAR 13  
18,Lycee Francais International Georges Pompidou School Oud Metha,OUD METHA,Pre primary - KG 2  
19,Safa Community School,AL BARSHA SOUTH FIRST,FS 1 - YEAR 13  
20,Victory Heights Primary School L.L.C,Dubai Sports City,FS 1 - YEAR 6  
21,Nord Anglia International School L.L.C,AL BARSHA SECOND,"FS 1 - YEAR 11,YEAR 12 - YEAR 13  "
22,Kings School Al Barsha L.L.C,AL BARSHA SECOND,FS 1 - YEAR 13  
23,Dubai British School Jumeirah Park,Jumeirah Park,ECC (2-3) - YEAR 13  
24,The English College Dubai L.L.C,UMM SUQEIM FIRST,FS 1 - YEAR 13  
25,Regent International Private School L.L.C,AL BARSHA SECOND,FS 1 - YEAR 13  
26,The Winchester School - DUBAI BRANCH,JABAL ALI FIRST,FS 1 - YEAR 13  
27,GEMS Our Own English High School,AL WARQA FIRST,Pre primary - GRADE 12  
28,The Indian High School,OUD METHA,GRADE 5 - GRADE 12  
29,GEMS Our Own Indian School,AL QOUZ FIRST,KG 1 - GRADE 12 
30,The Millenium School,AL QUSAIS FIRST,Pre primary - GRADE 12 
31,Emirates International School L.L.C.,UMM SUQEIM FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
32,Delhi Private School,JABAL ALI FIRST,
33,German International School Dubai,Academic City,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
34,Safa British School,AL SAFA FIRST,FS 1 - YEAR 11
35,GEMS Royal Dubai School - Dubai Branch,MIRDIF,ECC (2-3) - YEAR 6 Academic CalendarFees Fact Sheet
36,Universal American School - Branch,RAS AL KHOR,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
37,EMIRATES INTERNATIONAL SCHOOL MEADOWS,Meadows,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
38,Lycee Francais International Georges Pompidou School (Dubai Branch),AL ROWAIYAH FIRST,GRADE 1 - GRADE 12 Academic CalendarFees Fact Sheet
